,0,1
city01,18.7882778,98.9858802
city02,15.5719197,103.0464524
city03,9.4674663,98.830042
city04,13.8610918,100.3456772
city05,13.1857117,101.1210777
city06,13.8245796,100.6224463
city07,7.0366682,99.9615397
city08,,
city09,15.2241917,101.9313754
city10,13.586036,100.60670401176327
city11,6.8680798,101.253623
city12,12.7943716,101.3705344
city13,15.7486448,103.7013017
city14,7.543525,99.9971582
city15,6.4350352,101.8228923
city16,19.7589517,99.6734592
city17,7.9366015,98.3529292
city18,13.8918425,100.0165659
city19,10.3782724,99.0077685
city20,13.97270675,100.51976929479142
city21,16.6022387,102.6352933
city22,6.3344846,101.1409694
city23,19.341673,100.1854539
city24,36.5940732,69.7938996
city25,16.0282186,104.2748479
city26,14.6777,100.0350785
city27,17.1446985,99.4375845
city28,15.1453182,99.9010244
city29,,
city30,8.1111653,99.1097298
city31,17.5211917,102.6680012
city32,12.9081033,102.0159145
city33,15.9041448,103.0840638
city34,6.8790221,100.5498542
city35,18.2329562,103.8267114
city36,,
city37,46.3144754,11.0480288
city38,16.418027,101.1556825
city39,18.2661422,98.96749
city40,13.7486857,100.56313713834463
city41,13.77156455,100.50440575346909
city42,17.1990989,104.6089459
city43,14.5249471,100.9160757
city44,14.9222,104.4439596
city45,18.2930601,100.0886757
city46,16.9779975,100.3848239
city47,46.0773762,0.3719914
city48,14.1494474,101.2177459
city49,14.44019,99.2676727
city50,14.9955693,103.1079187
city51,,
city52,15.1879684,105.3269544
city53,51.0681628,5.0893974
city54,15.0329358,107.4623902
city55,16.434034,103.5059403
city56,12.2593544,102.4268871
city57,10.0469546,98.6870133
city58,7.5892935,99.5032004
city59,13.6093192,101.5467201
city60,14.701895749999998,100.465745733044
city61,14.1542055,101.5547823
city62,16.2720349,101.7153824
city63,15.7054772,99.9288481
city64,19.3927456,98.2031112
city65,13.5708192,100.2585874
city66,17.1904453,103.9730898
city67,15.026458,100.8089178
city68,16.4551073,100.1924695
city69,16.6972385,104.3470293
city70,15.3912084,99.4560531
city71,16.4183581,99.6111616
city72,17.625163,100.4029452
city73,17.2022252,102.440702
city74,13.3576862,99.9619685
city75,15.9949473,104.7328575
city76,8.4865492,98.5120762
city77,14.9936716,100.3602963
city00,46.3144754,11.0480288
