"City Code","City Name (EN)","City (TH)"
"city01","Chiang Mai","เชียงใหม่"
"city02","Lamphang","ลำปาง"
"city03","Surat Thani","สุราษฎร์ธานี"
"city04","Nonthaburi","นนทบุรี"
"city05","Chonburi","ชลบุรี"
"city06","Bangkok","กรุงเทพมหานคร"
"city07","Satun","สตูล"
"city08","Srakaeo","สระแก้ว"
"city09","Nakhon Ratchasima","นครราชสีมา"
"city10","Samut Prakarn","สมุทรปราการ"
"city11","Pattani","ปัตตานี"
"city12","Rayong","ระยอง"
"city13","Roi Et","ร้อยเอ็ด"
"city14","Phatthalung","พัทลุง"
"city15","Narathiwat","นราธิวาส"
"city16","Chiang Rai","เชียงราย"
"city17","Phuket","ภูเก็ต"
"city18","Nakhon Pathom","นครปฐม"
"city19","Chumphon","ชุมพร"
"city20","Pathumthani","ปทุมธานี"
"city21","Khon Kaen","ขอนแก่น"
"city22","Yala","ยะลา"
"city23","Phayao","พะเยา"
"city24","Tak","ตาก"
"city25","Yasothon","ยโสธร"
"city26","Supanburi","สุพรรณบุรี"
"city27","Sukhothai","สุโขทัย"
"city28","Chainat","ชัยนาท"
"city29","Prachaubkirikhan","ประจวบคีรีขันธ์"
"city30","Krabi","กระบี่"
"city31","Udon Thani","อุดรธานี"
"city32","Chanthaburi","จันทบุรี"
"city33","Maha Sarakham","มหาสารคาม"
"city34","Songkhla","สงขลา"
"city35","Bueng Kan","บึงกาฬ"
"city36","Nakhon Sri Thammarat","นครศรีธรรมราช"
"city37","Nan","น่าน"
"city38","Phetchabun","เพชรบูรณ์"
"city39","Lamphun","ลำพูน"
"city40","Petchburi","เพชรบุรี"
"city41","Phra Nakhon Sri Ayutthaya","พระนครศรีอยุธยา"
"city42","Nakhon Phanom","นครพนม"
"city43","Saraburi","สระบุรี"
"city44","Si Sa Ket","ศรีสะเกษ"
"city45","Phrae","แพร่"
"city46","Phitsanulok","พิษณุโลก"
"city47","Surin","สุรินทร์"
"city48","Nakhon Nayok","นครนายก"
"city49","Kanchanaburi","กาญจนบุรี"
"city50","Buri Ram","บุรีรัมย์"
"city51","Ratchburi","ราชบุรี"
"city52","Ubon Ratchathani","อุบลราชธานี"
"city53","Loei","เลย"
"city54","Nongkai","หนองคาย"
"city55","Kalasin","กาฬสินธุ์"
"city56","Trat","ตราด"
"city57","Ranong","ระนอง"
"city58","Trang","ตรัง"
"city59","Chachoengsao","ฉะเชิงเทรา"
"city60","Angthong","อ่างทอง"
"city61","Prachinburi","ปราจีนบุรี"
"city62","Chaiyaphum","ชัยภูมิ"
"city63","Nakhon Sawan","นครสวรรค์"
"city64","Mae Hong Son","แม่ฮ่องสอน"
"city65","Samut Sakhon","สมุทรสาคร"
"city66","Sakon Nakhon","สกลนคร"
"city67","Lopburi","ลพบุรี"
"city68","Phichit","พิจิตร"
"city69","Mukdahan","มุกดาหาร"
"city70","Uthai Thani","อุทัยธานี"
"city71","Kamphaeng Phet","กำแพงเพชร"
"city72","Uttaradit","อุตรดิตถ์"
"city73","Nong Bua Lam Phu","หนองบัวลำภู"
"city74","Samut Songkram","สมุทรสงคราม"
"city75","Amnat Charoen","อำนาจเจริญ"
"city76","Phangnga","พังงา"
"city77","Singburi","สิงห์บุรี"
"city00","N/A","N/A"
